int,putchar,(int c);,wint_t,putwchar,(wchar_t wc);,tint_t,puttchar,(tchar tc);
int,fputc_unlocked,"(int c, FILE *stream);",wint_t,fputwc_unlocked,"(wchar_t wc, FILE *stream);",tint_t,fputtc_unlocked,"(tchar tc, FILE *stream);"
int,putc_unlocked,"(int c, FILE *stream);",wint_t,putwc_unlocked,"(wchar_t wc, FILE *stream);",tint_t,puttc_unlocked,"(tchar tc, FILE *stream);"
int,putchar_unlocked,(int c);,wint_t,putwchar_unlocked,(wchar_t wc);,tint_t,puttchar_unlocked,(tchar tc);
int,getw,(FILE *stream);,,,,,,
int,putw,"(int w, FILE *stream);",,,,,,
char *,fgets,"(char *s, int n, FILE *stream);",wchar_t *,fgetws,"(wchar_t *ws, int n, FILE *stream);",tchar *,fgetts,"(tchar *ts, int n, FILE *stream);"
char *,fgets_unlocked,"(char *s, int n, FILE *stream);",wchar_t *,fgetws_unlocked,"(wchar_t *ws, int n, FILE *stream);",tchar *,fgetts_unlocked,"(tchar *ts, int n, FILE *stream);"
char *,gets,(char *s);,,,,,,
ssize_t,getdelim,"(char **lineptr, size_t *n, int delimiter, FILE *stream);",,,,,,
ssize_t,getline,"(char **lineptr, size_t *n, FILE *stream);",,,,,,
int,fputs,"(const char *s, FILE *stream);",int,fputws,"(const wchar_t *ws, FILE *stream);",int,fputts,"(const tchar *ts, FILE *stream);"
int,fputs_unlocked,"(const char *s, FILE *stream);",int,fputws_unlocked,"(const wchar_t *ws, FILE *stream);",int,fputts_unlocked,"(const tchar *ts, FILE *stream);"
int,puts,(const char *s);,,,,,,
int,ungetc,"(int c, FILE *stream);",wint_t,ungetwc,"(wint_t wc, FILE *stream);",tint_t,ungettc,"(int tc, FILE *stream);"
void,perror,(const char *s);,,,,,,
size_t,strftime,"(char *s, size_t maxsize, const char *format, const struct tm *tp);",size_t,wcsftime,"(wchar_t *s, size_t maxsize, const wchar_t *format, const struct tm *tp);",size_t,tcsftime,"(tchar *s, size_t maxsize, const tchar *format, const struct tm *tp);"
char *,strptime,"(const char *s, const char *fmt, struct tm *tp);",,,,,,
char *,asctime,(const struct tm *tp);,,,,,,
char *,ctime,(const time_t *timer);,,,,,,
char *,asctime_r,"(const struct tm *tp, char *buf);",,,,,,
char *,ctime_r,"(const time_t *timer, char *buf);",,,,,,
struct tm *,getdate,(const char *string);,,,,,
int,getdate_r,"(const char *string, struct tm *resbufp);",,,,,
